NCTId,BriefTitle,Condition,EligibilityCriteria,Location,StudyType,OverallStatus,HasResults
NCT04355572,Evaluation of the Clinical and Psychological Impact of Vitamin D Replacement in Adolescent Females at Risk for Polycystic Ovarian Syndrome (PCOS),"['Polycystic Ovarian Syndrome in Adolescent Females', 'Vitamin D Deficiency']","Inclusion Criteria:

- Postmenarchal adolescent females aged 13-21 who meet modified Rotterdam criteria for PCOS, with a serum vitamin D level between 6-29 ng/mL.

Exclusion Criteria:

* Other causes for hyperandrogenism,
* Chronic renal diseases,
* Acquired or inherited calcium and vitamin D metabolic disorders.",,INTERVENTIONAL,NOT_YET_RECRUITING,False
NCT06199544,Effect of Unani Medicine for the Management of Anomalies Associated With Polycystic Ovarian Syndrome,['Comparative Study'],"Inclusion criteria No complications record of reproductive system, 4) PCOS diagnosed using Rotterdam criteria fulfilling any two of the following: (i) Menstrual irregularity or oligo-/anovulation, (ii) Hyperandrogenism (clinically and/or biochemically), (iii) Polycystic appearance on ultrasound

Exclusion criteria

1) Patients with severe adverse drug reactions, 2) Record of cardiovascular, diabetes, hepatic and neoplastic disorders or other concurrent medical illnesses, 3) Hormonal contraceptive used within 6 months, or anti-obesity drugs within 3 months of the study, 4) Irregular menstrual bleeding other than PCOS and 5) Positive pregnancy test.","['Sindh, Pakistan']",INTERVENTIONAL,RECRUITING,False
NCT06793072,Adipokines in Polycystic Ovary Syndrome,"['PCOS', 'Reproductive Age']","Inclusion Criteria:

* Age 18-45

Exclusion Criteria:

* previous removal of at least one ovary
* treated diabetes of any type
* diagnosed and treated metabolic diseases
* diagnosed and treated autoimmune diseases
* diagnosed and treated autoinflammatory diseases(Edited)Restore original",['Poland'],OBSERVATIONAL,RECRUITING,False
NCT06208995,Quality of Life in Normogonadotropic Anovulation,"['Anovulation', 'Irregular Menses']","Inclusion Criteria:

* menstrual cycle length \<21 days or \>35 days
* age 18-45 years

Exclusion Criteria:

* previous ovarian surgery",['Poland'],OBSERVATIONAL,RECRUITING,False
NCT05976295,Efficacy of Jianpi Qushi Huatan Decoction in the Treatment of Polycystic Ovary Syndrome,['Polycystic Ovary Syndrome'],"Inclusion Criteria:

1. The diagnosis of PCOS is based on the Rotterdam criteria.
2. Meet the syndrome differentiation standard of spleen deficiency and phlegm-dampness in TCM theory.
3. women aged 18-40 years without fertility requirements.
4. A willingness to undergo this treatment plan.

Exclusion Criteria:

1. Hyperprolactinemia (2 times serum prolactin levels of more than 25 ng/ml at least one week apart).
2. Diminished ovarian reserve, FSH (follicle-stimulating hormone) level more than 10 IU/L.
3. Abnormal thyroid function, TSH (thyroid stimulating hormone) level less than 0.2 mIU/mL or more than 5.5 mIU/mL.
4. Suspected Cushing's syndrome.
5. Adrenal or ovarian tumors secreting androgen.
6. Poorly controlled type II diabetes.
7. Pregnancy or lactation.
8. Hypertensive patients with poorly controlled blood pressure (a systolic blood pressure more than 160 mmHg or a diastolic blood pressure more than 100 mmHg).
9. Those who had taken hormones or other drugs during the previous 3 months.
10. Acute heart, liver, kidney or blood diseases.","['Jiangxi, China']",INTERVENTIONAL,RECRUITING,False
NCT06041204,Best Treatment for Women With Both (Polycystic Ovary Syndrome) PCOS and Subclinical Hypothyroidism,"['PCOS (Polycystic Ovary Syndrome) of Bilateral Ovaries', 'Subclinical Hypothyroidism', 'Female Infertility']","Inclusion Criteria:

Age between 20-40 years

BMI between 18-35 kg/m2

Meet diagnostic criteria for PCOS based on the Rotterdam consensus criteria and ESHRE/ASRM modifications (2018):

Oligo- and/or anovulation Clinical and/or biochemical signs of hyperandrogenism Polycystic ovaries on ultrasound

Subclinical hypothyroidism defined as TSH level between 5-10 mIU/L with normal free T4

Infertility duration ≥ 1 year

Intact ovaries and uterus, confirmed by physical exam and imaging

Normal semen analysis in male partner

No tubal or peritoneal factor contributing to infertility

Effective contraception if not attempting conception

Willing and able to provide informed consent

Exclusion Criteria:

Known thyroid disease or on thyroid medications

Abnormal thyroid function tests other than subclinical hypothyroidism

Hyperprolactinemia

Presence of other causes of infertility such as:

Moderate to severe male factor infertility Bilateral tubal occlusion or peritoneal factors Stage III-IV endometriosis Ovarian failure or insufficiency (high FSH or low AMH)

Previous diagnosis of any type of congenital adrenal hyperplasia

Uncontrolled diabetes (HbA1C \>8%)

History of deep vein thrombosis or thromboembolic events

Any contraindication to letrozole or levothyroxine

Previous use of letrozole or levothyroxine in past 6 months

Current or suspected pregnancy

Breastfeeding

Inability to comply with treatment and follow-up procedures",['Egypt'],INTERVENTIONAL,RECRUITING,False
NCT06066034,"Changes in Serum, Follicular Fluid SREBP1c and LRG1 Levels in PCOS Patients and Correlation With Insulin Resistance",['PCOS (Polycystic Ovary Syndrome) of Bilateral Ovaries'],"Inclusion Criteria:

Clinical diagnosis of Polycystic Ovary Syndrome

Exclusion Criteria:

Congenital adrenal cortical hyperplasia Adrenocortical carcinoma Cushing syndrome.","['Guizhou, China']",OBSERVATIONAL,RECRUITING,False
NCT06306417,A Randomized Controlled Trial of Acupuncture for Insulin Resistance in Patients With Polycystic Ovary Syndrome,['Polycystic Ovary Syndrome (PCOS)'],"Inclusion Criteria:

* For the PCOS group, PCOS diagnosis according to Rotterdam criteria 2003 with at least two of the following three symptoms: (1) infrequent ovulation or anovulation; (2) hyperandrogenism or clinical manifestations of high blood androgen; (3) ultrasound findings of polycystic ovaries in 1 or 2 ovaries, or ≥12 follicles measuring 2 to 9 mm in diameter, and/or ovarian volume ≥10 mL

Exclusion Criteria:

1. Exclusion of other endocrine disorders such as androgen secreting tumors, suspected Cushing's syndrome and non-classic congenital adrenal hyperplasia (17-hydroxyprogesterone \< 3nmol/L) thyroid dysfunction and hyperprolactinemia.
2. Type I diabetes or not well controlled type II diabetes
3. Stage 2 hypertension (resting blood pressure ≥160/100mmHg)
4. Psychiatric diagnoses or using psychiatric medications including antidepressants
5. Pharmacological treatment (cortizone, antidepressant, other antidiabetic treatment such as insulin and acarbose, hormonal contraceptives, hormonal ovulation induction or other drugs judged by discretion of investigator) within 12 weeks. Depo Provera or similar within 6 months.",['China'],INTERVENTIONAL,RECRUITING,False
NCT03905941,Relative Desirability of Metformin vs. Birth Control Pill in Treating PCOS in Women of Later Reproductive Age,['Polycystic Ovary Syndrome'],"Inclusion Criteria:

* Women with PCOS aged 40-49 years. Subject is considered to have PCOS if she has current or verifiable history of: a) clinical and/or biochemical evidence of hyperandrogenism plus b) oligomenorrhea or irregular menstruation (substantially inconsistent menstrual cycle length). Subjects with fewer than 10 menses/year or average menstrual cycle length \>35 days are allowed to participate if they have a compelling past history of oligomenorrhea (average menstrual cycle length \>45 days or fewer than 9 menses/year) or irregular menstruation.
* Screening safety labs within normal reference ranges although mild abnormalities that are common in obesity and/or hyperandrogenism will not be grounds for exclusion (see exclusion criteria).
* Subjects must be willing and able to provide written informed consent.
* Willingness to strictly avoid pregnancy (using non-hormonal methods) during the time of the study
* Willingness and ability to comply with scheduled visits and study procedures

Exclusion Criteria:

* Postmenopausal status (i.e., absence of periods for previous year plus elevated follicle stimulating hormone \[FSH\] level)
* Biochemical evidence for perimenopause as defined by an anti-Mullerian hormone \<0.5 ng/mL. As an alternative, cycle day 3 FSH \> 9 IU/L (with concomitant estradiol level \>80 pg/mL), if this testing is available, will serve as evidence of perimenopause status. NOTE: If FSH \>9 IU/L on screening (but it is not cycle day 3), FSH and estradiol will be repeated on cycle day 3
* History of hysterectomy and/or bilateral oophorectomy
* BMI ≥ 40 kg/m2
* Inability to comprehend what will be done during the study or why it will be done.
* Being a study of older women with PCOS, children and men will be excluded.
* Pregnancy or lactation within the past 6 months. Subjects with a positive pregnancy test will be informed of the result by the screening physician.
* Prisoners.
* History of (or clinical evidence for) Cushing's syndrome or adrenal insufficiency.
* History of congenital adrenal hyperplasia or 17-hydroxyprogesterone (17-OHP) \>200 ng/dL, which suggest the possibility of congenital adrenal hyperplasia. 17-OHP will be collected during follicular phase. NOTE: if a 17-OHP \>200 ng/dL and is confirmed on repeat testing, an ACTH-stimulated 17-OHP \<1000 ng/dL will be required for study participation.
* Total testosterone \>150 ng/dL, which suggests the possibility of virilizing neoplasm.
* DHEA-S greater than 1.5 times the upper limit of normal range (mild elevations may be seen in PCOS, so elevations \< 1.5 times the upper limit of normal will be accepted in these groups).
* Virilization
* Diagnosis of diabetes mellitus (DM), fasting glucose ≥ 126 mg/dL, or a hemoglobin A1c of ≥ 6.5%.
* Abnormal thyroid stimulating hormone (TSH). Subjects with stable and adequately-treated hypothyroidism, reflected by normal TSH values, will not be excluded.
* Moderate to severe hyperprolactinemia. Mild prolactin elevations may be seen in PCOS, and elevations \< 1.5 times the upper limit of normal will be accepted in this group.
* Persistent liver abnormalities, with the exception that mild bilirubin elevations will be accepted in the setting of known Gilbert's syndrome. Mild transaminase elevations may be seen in women with obesity, so elevations \<1.5 times the upper limit of normal will be accepted in this group.
* Persistent hematocrit \<36% and hemoglobin \<12 g/dL.
* Abnormal sodium, potassium, or bicarbonate concentrations or elevated creatinine concentration.
* Significant history of pulmonary dysfunction (e.g., asthma or COPD requiring intermittent systemic corticosteroid, pulmonary hypertension, etc.).
* History of known or suspected congestive heart failure.
* History of known or suspected ischemic heart disease or cerebrovascular disease.
* History of hypertension.
* History of uncontrolled/untreated dyslipidemia. Subjects with stable and adequately treated dyslipidemia reflected by normal lipid panel values will not be excluded.
* History of complicated valvular heart disease (e.g. pulmonary hypertension, risk of atrial fibrillation, history of subacute bacterial endocarditis)
* History of stroke
* History of smoking
* History of severe cirrhosis or liver tumor (e.g. hepatocellular adenoma or malignant hepatoma).
* Use of anticonvulsants, rifampicin or rifabutin therapy. The interaction of these drugs with OCs will not be harmful to the subjects, but it will reduce the effectiveness of OCs.
* History of venous thromboembolism (e.g. deep venous thrombosis (DVT), pulmonary embolism (PE)).
* Personal history of blood clotting disorders (e.g., protein C, protein S, positive antiphospholipid antibodies).
* First-degree relative history of blood clotting disorder, unless the same disorder has been formally excluded for the study subject.
* History of migraine headaches.
* History of breast, ovarian, or endometrial cancer.
* Note: If endometrial thickness on transvaginal ultrasound is \>8 mm in the proliferative (follicular) phase or \>14 mm in the secretory (luteal) phase, the subject will be referred to a gynecologist for further evaluation (38). These particular subjects will be required to obtain a clearance from their gynecologist to participate in this study.
* Note: Any abnormal labs may be repeated to exclude a lab error.
* No medications known to affect the reproductive system can be taken in the 2 months prior to screening and in the 3 months prior to the study. Such medications include oral contraceptive pills, metformin, progestins, glucocorticoids, anti-psychotics, and/or mood stabilizers that are known to cause hormone abnormalities.","['Virginia, United States']",INTERVENTIONAL,RECRUITING,False
NCT01425541,Assessment of the Sensitivity of the Hypothalamic GnRH Pulse Generator to Estradiol and Progesterone Inhibition,"['Hyperandrogenemia', 'Polycystic Ovary Syndrome (PCOS)']","Inclusion Criteria:

* Girls ages 8 to 18
* Hyperandrogenemic (testosterone level \> 0.4 ng/mL and/or hirsutism)
* Normal screening labs (with exception of the expected hormonal abnormalities inherent in hyperandrogenemia)

Exclusion Criteria:

* Abnormal screening labs (with exception of the expected hormonal abnormalities inherent in hyperandrogenemia)
* Congenital adrenal hyperplasia.
* Hemoglobin \<12 mg/dL or hematocrit \< 36% (Subjects will be offered the opportunity to take iron supplementation for 60 days if their hematocrit is slightly low (33-36%) (suggestive of iron deficiency anemia) and will then return for retesting of their hemoglobin/hematocrit.)
* Weight \< 31 kg
* History of peanut allergy, deep venous thrombosis, breast cancer, endometrial cancer, or cervical cancer
* On hormonal medications (including oral contraceptive pills) or on medications known to affect the reproductive axis within 3 months of the study
* Pregnant or breastfeeding
* Participation in a research study within the past 30 days that involved taking a study drug.
* Participation in a research study that involved taking up to or greater than 473 ml's of blood within the past 60 days.
* Cigarette smoking
* History of surgery that required bedrest within the past 30 days
* Family history of hypercoagulability or unexplained thromboembolic disease (not in setting of bedrest, surgery, or malignancy)","['Virginia, United States']",INTERVENTIONAL,ACTIVE_NOT_RECRUITING,False
NCT06115122,PEPPI Study: Identification of Women at Risk for Placental Dysfunction,"['Pre-Eclampsia', 'Intrauterine Growth Restriction', 'Polycystic Ovary Syndrome', 'Iron-deficiency', 'Cardiovascular Diseases', 'Hypertensive Disorder of Pregnancy', 'Proteinuria in Pregnancy']","Mothers

Inclusion Criteria for PEPPI-study

* Pregnant (first trimester)
* Understands Finnish
* ≥18 years
* Signed informed consent

Exclusion Criteria

* Multiple pregnancy
* Miscarriage/termination of the index pregnancy
* No first trimester blood sampling

Inclusion Criteria for FERPPI-study

* Participates in PEPPI-study (criteria above)
* Blood samples at first and third trimester of pregnancy
* Permits blood sampling from the umbilical cord when the baby is born

Exclusion Criteria

* No first or third trimester blood sampling
* No umbilical cord blood sample after baby is born

Fathers

Inclusion Criteria

* Biological father to the child born for the mother who participated in PEPPI study
* ≥18 years
* Signed informed consent

Exclusion Criteria

• Does not understand Finnish

Children

Inclusion Criteria for PEPPI-study

* Born to mother who participated in PEPPI study
* Signed informed consent from parent(s)

Exclusion Criteria

• No consent from parent(s)

Inclusion Criteria for PEPPI-offspring study • Mother in risk-, control-, or PCOS group during PEPPI-study with ultrasound information at gestational weeks 30-32 or a mother who developed pre-eclampsia during the pregnancy regardless of their study group during PEPPI-study

Exclusion Criteria

• Mother/father declines participation

Inclusion Criteria for FERPPI-study

* Signed informed consent from parent(s)
* Mother has blood samples taken at first and third trimester (iron status)
* Child has blood samples taken at birth and at 3 months of age

Exclusion Criteria

* No consent from parent(s)
* No blood samples from mother
* No blood samples from child",['Finland'],OBSERVATIONAL,RECRUITING,False
NCT06479434,Serum Biomarker Levels Improvement in Poly Cystic Ovarian Syndrome: Impact of Metformin Compared to Healthy Controls,"['Polycystic Ovary Syndrome', 'Insulin Resistance']","Inclusion Criteria:

a) Patients Falling into PCOS as per Rotterdam criteria

Exclusion Criteria:

1. Systemic diseases like atherosclerosis,
2. Diabetes mellitus
3. Hypertension
4. congenital adrenal hyperplasia, androgen secreting tumors","['Sind, Pakistan']",INTERVENTIONAL,RECRUITING,False
NCT06842524,Dihydroartemisinin for the Treatment of Polycystic Ovary Syndrome,['Polycystic Ovary Syndrome (PCOS)'],"Inclusion Criteria:

* Women with PCOS defined as having irregular menstrual cycles and hyperandrogenism. Irregular menstrual cycles are defined as \< 21 or \> 35 days or \< 8 cycles per year. Hyperandrogenism refers to either hyperandrogenemia or hirsutism. Hyperandrogenemia will be defined as an elevated total testosterone \>1.67 nmol/L measured by Elecsys Testosterone II (Roche Diagnostics). Hirsutism is determined by a modified Ferriman-Gallwey Score \>4 at screening exam.
* Body Mass Index (BMI) between 18.5 and 28 kg/M2
* Negative pregnancy test
* No plan for pregnancy in the coming 6 months

Exclusion Criteria:

* Patients on oral contraceptives. A two-month washout period will be required prior to screening for patients on these agents. A one-month washout will be required for patients on oral cyclic progestins. Patients on depo-progestins or hormonal implants are excluded.
* Patients with liver disease defined as ALT or AST above normal range of each participating center, or total bilirubin\>30umol/L. Metabolic dysfunction-associated steatotic liver disease (MASLD) with normal ALT and AST can be included.
* Patients with anemia (Hemoglobin \< 12 g/dL) or neutropenia (neutrocyte \<1.8×10\^9/L).
* Patients with renal disease defined as serum creatinine\> 115umol/L.
* Patients diagnosed with other endocrine diseases that are known to cause secondary polycystic ovary morphology, e.g., Cushing's syndrome, hyperprolactinemia, congenital adrenal hyperplasia (21-hydroxylase deficiency or other enzyme deficiency), hypothyroidism, etc.
* Patients diagnosed with Type 1 or Type 2 diabetes.
* Patients with known heart disease, like heart failure, atrial fibrillation, coronary heart disease, etc.
* Patients with a history of any type of cancer.
* Patients taking other medications known to affect reproductive function or metabolism. These medications include GnRH agonists and antagonists, antiandrogens, gonadotropins, GLP-1 receptor agonist, SGLT2i, metformin and thiazolidinediones. The washout period on all these medications will be two months.
* Patients who have undergone a bariatric surgery procedure within the past 12 months.","['Fujian, China', 'Fujian, China', 'Shanghai, China', 'Zhejiang, China']",INTERVENTIONAL,RECRUITING,False
NCT04196595,Apple Women's Health Study,"['Menstrual Cycle', 'Ovulation', 'Menstruation', 'Polycystic Ovary Syndrome', 'Infertility', 'Menopause', 'Reproduction', 'Reproductive Health']","Inclusion Criteria:

* Have menstruated at least once
* Be at least 18 years old (at least 19 years old in Alabama and Nebraska, at least 21 years old in Puerto Rico)
* Live in the United States of America
* Be comfortable communicating in written and spoken English
* Have installed the Apple Research app on your iPhone
* Not share your iCloud account or iPhone with anyone else
* Be willing and able to provide informed consent to participate in the study","['Massachusetts, United States']",OBSERVATIONAL,RECRUITING,False
NCT05958914,Neuropeptide Expression During the Ovarian Cycle and in Patients With PCOS,['PCOS'],"Inclusion Criteria:

* infertile women
* BMI between 18 and 30 kg/m2,
* basal FSH \< 10 IU/L,
* number of antral follicles (2-10 m) per ovary \> 10,
* regular uterine cavity assessed by hysterosalpinography, sonohysterography or hysteroscopy, and hematologic and biochemical parameters within normal limits will be included in the study, euthyroid status (with or without treatment)
* In case of women with PCOS, it should be diagnosed according to the Rotterdam criteria (The Rotterdam ESHRE/ASRM-sponsored PCOS consensus workshop group (2004) Revised 2003 consensus on diagnostic criteria and longterm health risks related to polycystic ovary syndrome (PCOS).
* No restrictions regarding the indication of infertility.

Exclusion Criteria:

* presence of ovaries inaccessible to oocyte pick-up,
* presence of sactosalpinx, heterologous fertilization,
* contraindication to pregnancy,
* atypical genital discharge of unspecified cause,
* uncontrolled dystothyroidism, presence of neoplasms,
* severe alteration of liver or kidney function, taking medications that may interfere with the study.","['Umbria, Italy']",INTERVENTIONAL,RECRUITING,False
NCT02010814,Characterization of a Prospective Cohort of Women With PCOS,['Polycystic Ovary Syndrome'],"Inclusion Criteria:

* PCOS

Exclusion Criteria:

* pregnancy",['Denmark'],OBSERVATIONAL,RECRUITING,False
NCT06742710,Liraglutide Treatment in Obese Infertile PCOS Women,"['PCOS', 'Obesity', 'Infertility']","Inclusion Criteria:

* Women with polycystic ovary syndrome (PCOS) who meet the Rotterdam diagnostic criteria.
* Aged 20-40 years;
* 25 kg/m2 ≤ BMI ≤ 35 kg/m2;
* Have not used any anti-diabetes or weight-loss medications (metformin excluded) within the past 3 months;
* Have at least 1 transplantable frozen embryo available at the research center;
* Able to follow the study's contraceptive requirements.

Exclusion Criteria:

* Diabetic ketoacidosis or other acute complications of diabetes;
* HbA1c ≥ 9.0% before enrollment;
* Using drugs that affect appetite or nutrient absorption within the past 2 months (metformin excluded);
* Uncontrolled hyperthyroidism or hypothyroidism, hypertension, systemic autoimmune diseases, etc. that may affect pregnancy and fetal development;
* 17 hydroxyprogesterone in follicualr phase \> 2.0 ng/ml;
* Serious cardiovascular, digestive, liver, or kidney diseases, HBsAg-positive chronic hepatitis B, active pulmonary tuberculosis, or AIDS, etc. that are infectious or hereditary diseases;
* Any psychiatric or psychological disorders requiring drug treatment;
* Poor pregnancy and delivery history: recurrent failed implantations ≥3 times, spontaneous abortions ≥2 times; history of stillbirth, dystocia, or birth defects; previous pregnancies with preeclampsia, eclampsia, or HELLP syndrome;
* Uncontrolled metabolic, autoimmune, or hereditary disease in the husband;
* A contraindication or relative contraindication to using GLP-1 receptor agonists (history of medullary thyroid carcinoma or family history of medullary thyroid carcinoma, acute cholecystitis or pancreatitis in the acute phase or history of previous attacks, GLP-1 receptor agonist allergy, etc.);
* Failure to comply with the contraceptive requirements of the study design;
* Failure to take medication regularly and follow up;
* Current smokers, drug addicts, alcoholics, or individuals with substance abuse;
* Participants who have participated in any clinical trial within the past 3 months prior to screening;
* Individuals with other conditions deemed unsuitable for participation in this clinical trial by the investigator;",,INTERVENTIONAL,NOT_YET_RECRUITING,False
NCT03068910,Hyperandrogenemia and Altered Day-night LH Pulse Patterns,"['Hyperandrogenism', 'Polycystic Ovary Syndrome', 'Puberty']","Inclusion Criteria:

* Mid- to late pubertal adolescent girl (at least Tanner breast stage 3, but no more than 2 years postmenarcheal)
* Hyperandrogenism, defined as a serum (calculated) free testosterone concentration greater than the Tanner stage-specific reference range and/or unequivocal evidence for hirsutism
* General good health (excepting overweight, obesity, hyperandrogenism, and adequately-treated hypothyroidism)
* Capable of and willing to provide informed assent (adolescents under age 16 years) and/or consent (adolescents over age 16 years; custodial parents or guardians of all adolescent volunteers)
* Willing to strictly avoid pregnancy with use of reliable non-hormonal methods during the study period

Exclusion Criteria:

* Inability/incapacity to provide informed consent
* Males will be excluded (hyperandrogenism is unique to females)
* Obesity resulting from a well-defined endocrinopathy or genetic syndrome
* Positive pregnancy test or current lactation
* Evidence for non-physiologic or non-PCOS causes of hyperandrogenism and/or anovulation
* Evidence of virilization (e.g., rapidly progressive hirsutism, deepening of the voice, clitoromegaly)
* Total testosterone \> 150 ng/dl, which suggests the possibility of virilizing ovarian or adrenal tumor
* DHEA-S elevation \> 1.5 times the upper reference range limit. Mild elevations may be seen in adolescent HA and in PCOS, and will be accepted in these groups.
* Early morning 17-hydroxyprogesterone \> 200 ng/dl measured in the follicular phase, which suggests the possibility of congenital adrenal hyperplasia (if elevated during the luteal phase, the 17-hydroxyprogesterone will be repeated during the follicular phase). NOTE: If a 17-hydroxyprogesterone \> 200 ng/dl is confirmed on repeat testing, an ACTH stimulated 17-hydroxyprogesterone \< 1000 ng/dl will be required for study participation.
* Abnormal thyroid stimulating hormone (TSH): Note that subjects with stable and adequately treated primary hypothyroidism, reflected by normal TSH values, will not be excluded.
* Hyperprolactinemia \> 20% higher than the upper limit of normal. Mild prolactin elevations may be seen in adolescents and women with HA/PCOS, and elevations within 20% higher than the upper limit of normal will be accepted in this group.
* History and/or physical exam findings suggestive of Cushing's syndrome, adrenal insufficiency, or acromegaly
* History and/or physical exam findings suggestive of hypogonadotropic hypogonadism (e.g., symptoms of estrogen deficiency) including functional hypothalamic amenorrhea (which may be suggested by a constellation of symptoms including restrictive eating patterns, excessive exercise, psychological stress, etc.)
* Persistent hematocrit \< 36% and hemoglobin \< 12 g/dl.
* Severe thrombocytopenia (platelets \< 50,000 cells/microliter) or leukopenia (total white blood count \< 4,000 cells/microliter)
* Previous diagnosis of diabetes, fasting glucose \> or = 126 mg/dl, or a hemoglobin A1c \> or = 6.5%
* Persistent liver panel abnormalities, with two exceptions. Mild bilirubin elevations will be accepted in the setting of known Gilbert's syndrome. Also, mild transaminase elevations may be seen in obesity/HA/PCOS; therefore, elevations \< 1.5 times the upper limit of normal will be accepted in this group.
* Significant history of cardiac or pulmonary dysfunction (e.g., known or suspected congestive heart failure, asthma requiring intermittent systemic corticosteroids, etc.)
* Decreased renal function evidenced by GFR \< 60 ml/min/1.73m2
* A personal history of breast, ovarian, or endometrial cancer
* History of any other cancer diagnosis and/or treatment (with the exception of basal cell or squamous cell skin carcinoma) unless they have remained clinically disease free (based on appropriate surveillance) for five years
* History of allergy to micronized progesterone or spironolactone
* Body mass index (BMI)-for-age percentile \< 5% (underweight)
* Due to the amount of blood being drawn, adolescent volunteers with body weight \< 25 kg will be excluded.
* Restrictions on use of other drugs or treatments: No medications known to affect the reproductive system, glucose metabolism, lipid metabolism, or blood pressure can be taken in the 2 months prior to the screening visit and in the 3 months prior to the start of the study medications. Such medications include oral contraceptive pills, progestins, metformin, systemic glucocorticoids, some antipsychotic medications, and sympathomimetics/stimulants (e.g., methylphenidate).","['Virginia, United States']",INTERVENTIONAL,RECRUITING,False
NCT06896981,Semaglutide in Women With Polycystic Ovary Syndrome and Obesity,"['Polycystic Ovary Syndrome (PCOS) Women', 'Obesity']","Inclusion Criteria:

Reproductive-aged women with PCOS diagnosed according to International evidence based guidelines 2023 and obesity

Exclusion Criteria:

1. Having DM, other significant systemic diseases- chronic kidney disease (eGFR \<60mL/minute/ 1.73 m2 BSA), chronic liver disease (ALT \>3 × ULN), and heart failure
2. Patients having PCOS mimicking endocrine disorders (untreated thyroid dysfunctions, hyperprolactinemia, congenital adrenal hyperplasia, Cushing's syndrome, acromegaly, hypothalamic disorder etc.)
3. Those taking any other weight loss medications (eg., orlistat, liraglutide) within the last 3 months
4. Those who have undergone bariatric surgery
5. Any conditions causing weight loss (thyrotoxicosis, Addison's disease, chronic infection, connective tissue disorder, cancer, etc)
6. Secondary causes of obesity (major mood disorders, steroids, valproate, oral contraceptives, etc)
7. Contraindications for semaglutide: personal or family history of medullary carcinoma of the thyroid, history of acute pancreatitis, gallbladder disease
8. Planning for pregnancy or current pregnancy/ lactation",['Bangladesh'],INTERVENTIONAL,RECRUITING,False
NCT03841981,Body Fat As Determinant of Female Gonadal Dysfunction,"['Polycystic Ovary Syndrome', 'Hypothalamic Amenorrhea']","Inclusion Criteria

Group I

* Body mass index between 18.5 and 25.0 kg/m2.
* Group 1 ovulatory dysfunction \[World Health Organization (WHO) classification\].
* Normal/low gonadotrophin levels \[follicle-stimulating hormone (FSH) and luteinizing (LH) \< 10 IU/l\] and low estradiol (\< 50 pg/ml).
* Moderate-vigorous intensity physical activity (\> 5 hours per week) plus low energy availability (\< 30 kcal/per kg of lean mass).
* Exclusion of secondary etiologies
* Informed consent signed.

Group II:

* Polycystic ovary syndrome phenotype I, II and III \[National Institute of Health (NIH)-2012\] with hyperandrogenemia (http://prevention.nih.gov/workshops/2012/resources.aspx).
* Body mass index between 18.5 and 40.0 kg/m2.
* Informed consent signed.

Group III:

* Polycystic ovary syndrome phenotype IV (NIH-2012) (http://prevention.nih.gov/workshops/2012/resources.aspx).
* Body mass index between 18.5 and 40.0 kg/m2.
* Informed consent signed.

Group IV:

* Body mass index between 18.5 and 25.0 kg/m2.
* Regular menses.
* Normal gonadotropins and estradiol levels at follicular phase.
* Moderate-vigorous intensity physical activity (\> 5 hours per week) with normal energy availability (\> 30 kcal/per kg of lean mass).
* Informed consent signed.

Group V:

* No signs or symptoms of hyperandrogenism.
* No exercise or mild intensity physical activity.
* Regular menses.
* Body mass index between 18.5 and 40.0 kg/m2.
* Informed consent signed.

Exclusion Criteria (Groups I-V)

* Oral drugs interfering with ovulation (glucocorticoids, antipsychotics, antidepressants, contraceptives, sex steroids and/or opioids) for the previous 6 months to study inclusion.
* Current pregnancy or lactation, or during the previous 6 months to study inclusion.
* Asherman's syndrome or outflow tract disorders.
* Current smoking or alcohol intake \> 40 g per day.
* Previous diagnosis of glucose intolerance, hypertension, dyslipidemia, known heart or lung diseases, kidney disease, liver disease, celiac disease or any other malabsorptive condition, chronic inflammatory disease or malignancy.",['Spain'],OBSERVATIONAL,RECRUITING,False
NCT06155708,Exogenous Ketone Supplementation in Females with Polycystic Ovary Syndrome,['PCOS'],"Inclusion Criteria:

* All female participants will report female sex assigned at birth
* All participants will be aged 18 to 40
* PCOS diagnosis

Exclusion Criteria:

* Current smokers or a prolonged history of smoking
* Presence or history of overt cardiometabolic disease (e.g., stage 2 hypertension, diabetes, heart disease), neurologic disease, or endocrinopathy (with the exception of PCOS)
* Current pregnancy or currently breastfeeding
* Current use of medications which may affect our outcomes of interest (e.g., anti-hypertensives, anti-androgens, metformin)","['Quebec, Canada']",INTERVENTIONAL,RECRUITING,False
NCT03585738,Effects of Oral Inositol Supplementation on Obstetrics Outcomes in PCOS Women,['Polycystic Ovary Syndrome'],"Inclusion Criteria:

* Pregnancy spontaneously conceived in women with PCOS diagnosed by Rotterdam criteria that starts oral supplementation before conception.

Exclusion Criteria:

* Any kwon pre-pregnancy disease.
* Any other pharmacological, non-pharmacological or nutraceutical treatment (beside oral folic acid supplementation) more than 3 months before the enrollment (wash-out period) or during the trial, or until the development or pregnancy-induced/related diseases requiring pharmacological treatments.",,INTERVENTIONAL,NOT_YET_RECRUITING,False
